iterations,fitness,time,fevals
0,21.0,0.000642227,469
10,22.0,0.00119451499999,846
20,24.0,0.00173586,1216
30,24.0,0.00223958799999,1579
40,24.0,0.002747762,1946
50,24.0,0.003273034,2314
60,24.0,0.003744274,2686
70,24.0,0.004196022,3056
80,25.0,0.004698723,3422
90,24.0,0.00520279300001,3796
100,24.0,0.00564051900001,4163
110,24.0,0.00613125200002,4536
120,24.0,0.00657171500002,4902
130,25.0,0.00707441700003,5272
140,25.0,0.00807640100004,5634
150,27.0,0.00898707800003,6006
160,27.0,0.00946139600003,6374
170,27.0,0.00995247100003,6740
180,27.0,0.010367627,7103
190,29.0,0.010788939,7470
200,28.0,0.011262915,7840
210,29.0,0.011753647,8206
220,29.0,0.012184192,8576
230,29.0,0.012629442,8946
240,30.0,0.013051438,9319
250,30.0,0.013541487,9679
260,30.0,0.014014437,10049
270,30.0,0.014440536,10423
280,31.0,0.014864584,10793
290,32.0,0.015283502,11163
300,32.0,0.015698658,11527
310,31.0,0.016169899,11900
320,31.0,0.016575822,12266
330,31.0,0.016993714,12627
340,32.0,0.017422891,12993
350,31.0,0.017890369,13365
360,32.0,0.018304157,13737
370,32.0,0.018820537,14110
380,31.0,0.019298275,14481
390,31.0,0.019721297,14849
400,31.0,0.020159023,15213
410,31.0,0.020574521,15577
420,32.0,0.021043709,15937
430,32.0,0.021518027,16303
440,32.0,0.021990977,16667
450,32.0,0.022450248,17039
460,32.0,0.022865404,17400
470,32.0,0.023339038,17764
480,32.0,0.023760349,18128
490,32.0,0.024214832,18486
500,32.0,0.024612547,18847
510,32.0,0.025056771,19213
520,32.0,0.025453119,19577
530,32.0,0.025851518,19937
540,33.0,0.026256074,20292
550,32.0,0.026712609,20661
560,33.0,0.027108957,21025
570,32.0,0.027510776,21393
580,32.0,0.027969705,21760
590,33.0,0.02837084,22129
600,33.0,0.028837977,22494
610,33.0,0.029256211,22865
620,33.0,0.029668973,23236
630,33.0,0.030081393,23602
640,33.0,0.030485265,23968
650,33.0,0.030952402,24334
660,34.0,0.031431507,24695
670,34.0,0.031850425,25065
680,34.0,0.032263188,25430
690,34.0,0.032701941,25795
700,34.0,0.033114361,26166
710,34.0,0.033596544,26539
720,34.0,0.034009306,26902
730,34.0,0.034420701,27270
740,34.0,0.034902542,27636
750,34.0,0.035345056,28000
760,35.0,0.035827581,28367
770,36.0,0.036260521,28736
780,36.0,0.036664051,29091
790,36.0,0.037141447,29465
800,36.0,0.037621237,29832
810,36.0,0.038043917,30198
820,36.0,0.0385011360001,30574
830,36.0,0.0389822930001,30940
840,35.0,0.0394456680001,31299
850,35.0,0.0399015190001,31664
860,37.0,0.0403023120001,32026
870,36.0,0.0407301210001,32393
880,35.0,0.0411890500001,32756
890,35.0,0.0415867660001,33128
900,36.0,0.0419954250001,33489
910,36.0,0.0424505920001,33858
920,35.0,0.0428589090001,34224
930,35.0,0.0432761170001,34589
940,35.0,0.0436987970001,34969
950,36.0,0.0441091660001,35344
960,35.0,0.0445978470001,35717
970,35.0,0.0450130030001,36080
980,35.0,0.0454322630001,36458
990,35.0,0.0458419470001,36819
1000,35.0,0.0462618910001,37194
1010,35.0,0.0466705500001,37568
1020,35.0,0.0471380280001,37934
1030,35.0,0.0476537250001,38297
1040,36.0,0.0481437740001,38662
1050,35.0,0.0486321130001,39038
1060,35.0,0.0490978810001,39400
1070,35.0,0.0495547580001,39760
1080,35.0,0.0534194060001,40125
1090,36.0,0.0538786770001,40493
