iterations,fitness,time,fevals
0,26.0,0.089866319,1000
10,28.0,0.174533265,2100
20,37.0,0.25813633,3200
30,37.0,0.346231565,4300
40,38.0,0.421326318,5400
50,39.0,0.486933002,6500
60,39.0,0.548965716,7600
70,42.0,0.612879971,8700
80,39.0,0.673413129,9800
90,39.0,0.732786995,10900
100,39.0,0.801047056,12000
110,39.0,0.864658663,13100
120,40.0,0.940029389,14200
130,39.0,1.002251898,15300
140,39.0,1.068096938,16400
150,39.0,1.128430726,17500
160,39.0,1.207606596,18600
170,40.0,1.266760914,19700
180,42.0,1.329426964,20800
190,40.0,1.38961849,21900
200,39.0,1.453704758,23000
210,40.0,1.514864412,24100
220,39.0,1.57531789,25200
230,40.0,1.634589506,26300
240,41.0,1.696701216,27400
250,41.0,1.75960357,28500
260,40.0,1.829803307,29600
270,40.0,1.896058374,30700
280,40.0,1.953735365,31800
290,39.0,2.019078729,32900
300,39.0,2.083249807,34000
310,39.0,2.140695966,35100
320,39.0,2.224568506,36200
330,40.0,2.282154874,37300
340,41.0,2.341401868,38400
350,41.0,2.400682375,39500
360,39.0,2.462229144,40600
370,39.0,2.530795613,41700
380,39.0,2.61563594,42800
390,39.0,2.674573448,43900
400,39.0,2.736079864,45000
410,41.0,2.798213461,46100
420,40.0,2.86157748,47200
430,40.0,2.935133692,48300
440,39.0,2.998592438,49400
450,40.0,3.057211568,50500
460,39.0,3.122591181,51600
470,40.0,3.20238705,52700
480,40.0,3.260252127,53800
490,40.0,3.324619498,54900
500,40.0,3.382550234,56000
510,39.0,3.455498416,57100
520,39.0,3.53028334,58200
530,40.0,3.600560363,59300
540,40.0,3.666567157,60400
550,40.0,3.734690427,61500
560,39.0,3.795019084,62600
570,39.0,3.85793922,63700
580,40.0,3.920268426,64800
590,40.0,3.978431362,65900
600,41.0,4.042866101,67000
610,41.0,4.101941766,68100
620,41.0,4.163811016,69200
630,41.0,4.23071002,70300
640,41.0,4.29326185,71400
650,41.0,4.354889325,72500
660,42.0,4.427481512,73600
670,41.0,4.493475995,74700
680,43.0,4.566721353,75800
690,42.0,4.647425847,76900
700,42.0,4.711929665,78000
710,42.0,4.773226451,79100
720,41.0,4.833914523,80200
730,42.0,4.90510017,81300
740,43.0,4.965991716,82400
750,43.0,5.025241103,83500
760,43.0,5.086230796,84600
770,44.0,5.148120565,85700
780,44.0,5.225258954,86800
790,44.0,5.291886088,87900
800,45.0,5.349862648,89000
810,44.0,5.412684979,90100
820,43.0,5.47652571,91200
830,44.0,5.536636189,92300
840,45.0,5.610024491,93400
850,49.0,5.672831776,94500
860,44.0,5.731962499,95600
870,45.0,5.797082554,96700
880,45.0,5.856627407,97800
890,45.0,5.916999837,98900
900,48.0,5.980716431,100000
910,45.0,6.042179416,101100
920,45.0,6.109313013,102200
930,45.0,6.168369527,103300
940,50.0,6.232196236,104400
950,48.0,6.298657171,105500
960,48.0,6.3605955,106600
970,45.0,6.435646822,107700
980,44.0,6.497335852,108800
990,45.0,6.557149154,109900
1000,44.0,6.623549218,111000
1010,44.0,6.706575031,112100
1020,49.0,6.767726478,113200
1030,45.0,6.825621649,114300
1040,44.0,6.885200015,115400
1050,44.0,6.951991981,116500
1060,44.0,7.010455854,117600
1070,45.0,7.078064112,118700
1080,49.0,7.147141149,119800
1090,44.0,7.206218524,120900
1100,46.0,7.268703328,122000
1110,45.0,7.348077201,123100
1120,44.0,7.435725477,124200
1130,45.0,7.496335922,125300
1140,45.0,7.562469588,126400
1150,46.0,7.624634646,127500
1160,46.0,7.687645405,128600
1170,47.0,7.749913055,129700
1180,47.0,7.821512149,130800
1190,48.0,7.886844912,131900
