iterations,fitness,time,fevals
0,16.0,2.18869999991e-05,11
10,17.0,4.51409999993e-05,21
20,17.0,6.97629999991e-05,31
30,17.0,9.23339999996e-05,41
40,17.0,0.00011593,51
50,17.0,0.000141235999999,61
60,17.0,0.000165857999999,71
70,17.0,0.000190821999999,81
80,17.0,0.000213049999999,91
90,17.0,0.000238015000001,101
100,17.0,0.000266741000001,111
110,17.0,0.000289653000001,121
120,17.0,0.000319062000001,131
130,17.0,0.000341290000001,141
140,17.0,0.000364545000002,151
150,17.0,0.000388142000002,161
160,18.0,0.000414132000001,171
170,18.0,0.000435334000002,181
180,18.0,0.000482526000003,191
190,18.0,0.000513646000003,201
200,18.0,0.000546818000004,211
210,18.0,0.000571783000003,221
220,18.0,0.000594695000004,231
230,18.0,0.000620001000003,241
240,18.0,0.000647359000002,251
250,18.0,0.000675059000002,261
260,18.0,0.000700023000002,271
270,18.0,0.000732853000002,281
280,18.0,0.000757133000002,291
290,18.0,0.000784491000003,301
300,18.0,0.000809797000002,311
310,18.0,0.000836813000003,321
320,18.0,0.000862803000004,331
330,18.0,0.000886400000004,341
340,18.0,0.000907603000003,351
350,18.0,0.000934619000004,361
360,18.0,0.000963345000004,371
370,18.0,0.000994465000003,381
380,18.0,0.001019771,391
390,19.0,0.001046787,401
400,19.0,0.001077907,411
410,19.0,0.001108342,421
420,19.0,0.001136042,431
430,19.0,0.001167845,441
440,19.0,0.001193835,451
450,19.0,0.001221535,461
460,19.0,0.001247183,471
470,19.0,0.001272489,481
480,19.0,0.001292324,491
490,19.0,0.001313185,501
500,19.0,0.001340201,511
510,19.0,0.001363798,521
520,19.0,0.00139184,531
530,19.0,0.001418514,541
540,19.0,0.001442794,551
550,19.0,0.0014681,561
560,19.0,0.001491012,571
570,19.0,0.001512214,581
580,19.0,0.001538546,591
590,19.0,0.001561458,601
600,19.0,0.001588132,611
610,19.0,0.001614122,621
620,21.0,0.001638744,631
630,21.0,0.001667127,641
640,21.0,0.001692091,651
650,21.0,0.001719449,661
660,21.0,0.00174167699999,671
670,21.0,0.00176390499999,681
680,21.0,0.00179297299999,691
690,21.0,0.00181793799999,701
700,21.0,0.00184529599999,711
710,21.0,0.00186786599999,721
720,21.0,0.00189214599999,731
730,21.0,0.00191437499999,741
740,21.0,0.00193831299999,751
750,21.0,0.00196498699999,761
760,21.0,0.00198755699999,771
770,21.0,0.00201217899999,781
780,21.0,0.00204022099999,791
790,21.0,0.00206450199999,801
800,21.0,0.00208741399999,811
810,21.0,0.00211203599999,821
820,21.0,0.00213597399999,831
830,21.0,0.00216264799999,841
840,21.0,0.00218590299999,851
850,21.0,0.00221086699999,861
860,21.0,0.00223377999999,871
870,21.0,0.00225806099999,881
880,21.0,0.00228575999999,891
890,21.0,0.00231140799999,901
900,21.0,0.00234081799999,911
910,21.0,0.00236817599999,921
920,21.0,0.002398612,931
930,21.0,0.00244683099999,941
940,21.0,0.002502231,951
950,21.0,0.002536087,961
960,21.0,0.00256720699999,971
970,21.0,0.002667063,981
980,21.0,0.002703996,991
990,21.0,0.00272725,1001
1000,21.0,0.002758711,1011
1010,21.0,0.002780939,1021
1020,21.0,0.002801115,1031
1030,21.0,0.002825396,1041
1040,21.0,0.00285514799999,1051
1050,21.0,0.002877034,1061
1060,21.0,0.00289892,1071
1070,21.0,0.00292217499999,1081
1080,21.0,0.00294953299999,1091
1090,21.0,0.00297552299999,1101
1100,21.0,0.002997409,1111
1110,21.0,0.00302271499999,1121
1120,21.0,0.003050757,1131
1130,21.0,0.00307606299999,1141
1140,21.0,0.00310410499999,1151
1150,21.0,0.00312975299999,1161
1160,22.0,0.00315471799999,1171
1170,22.0,0.00317865699999,1181
1180,22.0,0.00320362099999,1191
1190,22.0,0.00322824299999,1201
1200,22.0,0.00325149699999,1211
1210,22.0,0.00327577699999,1221
1220,22.0,0.00330552799999,1231
1230,22.0,0.00332741399999,1241
1240,22.0,0.00335100999999,1251
1250,23.0,0.00337734199999,1261
1260,23.0,0.00340196399999,1271
1270,24.0,0.00342624399999,1281
1280,24.0,0.00344984099999,1291
1290,24.0,0.00347583099999,1301
1300,24.0,0.00349874299999,1311
1310,24.0,0.00352644299999,1321
1320,24.0,0.003549355,1331
1330,24.0,0.00357431899999,1341
1340,24.0,0.00359689,1351
1350,24.0,0.00362117,1361
1360,24.0,0.003646134,1371
1370,24.0,0.003670756,1381
1380,24.0,0.003695379,1391
1390,24.0,0.003719659,1401
1400,24.0,0.003745307,1411
1410,24.0,0.003768904,1421
1420,24.0,0.003795236,1431
1430,24.0,0.003820884,1441
1440,24.0,0.003847558,1451
1450,24.0,0.003869445,1461
1460,24.0,0.003897145,1471
1470,24.0,0.003922109,1481
1480,24.0,0.003946731,1491
1490,24.0,0.003972379,1501
1500,24.0,0.003996659,1511
1510,24.0,0.004022307,1521
1520,24.0,0.004046245,1531
1530,24.0,0.004070525,1541
1540,24.0,0.004099251,1551
1550,24.0,0.004124557,1561
1560,24.0,0.004150205,1571
1570,24.0,0.004203211,1581
1580,24.0,0.004249036,1591
1590,24.0,0.004294519,1601
1600,24.0,0.004340001,1611
1610,24.0,0.004384458,1621
1620,24.0,0.00443165,1631
1630,24.0,0.004465506,1641
1640,24.0,0.00451475,1651
1650,24.0,0.004559206,1661
1660,24.0,0.004602978,1671
1670,24.0,0.00464846,1681
1680,24.0,0.004694627,1691
1690,24.0,0.004744555,1701
1700,24.0,0.004792089,1711
1710,24.0,0.004838597,1721
1720,24.0,0.004872452,1731
1730,24.0,0.00490152,1741
1740,24.0,0.004947687,1751
1750,24.0,0.004992828,1761
1760,24.0,0.005022237,1771
1770,24.0,0.005049595,1781
1780,24.0,0.005078663,1791
1790,24.0,0.005124488,1801
1800,24.0,0.005167235,1811
1810,24.0,0.00521477,1821
1820,24.0,0.005257517,1831
1830,24.0,0.005300947,1841
1840,24.0,0.005345746,1851
1850,24.0,0.005389519,1861
1860,24.0,0.00543295,1871
1870,24.0,0.00548835,1881
1880,24.0,0.005534859,1891
1890,24.0,0.005581368,1901
1900,24.0,0.005627877,1911
1910,24.0,0.005677463,1921
1920,24.0,0.005728417,1931
1930,24.0,0.005774241,1941
1940,24.0,0.005819723,1951
1950,24.0,0.005865206,1961
1960,24.0,0.005909662,1971
1970,24.0,0.005960616,1981
1980,24.0,0.006008834,1991
1990,24.0,0.006054317,2001
2000,24.0,0.006103903,2011
2010,24.0,0.006149044,2021
2020,24.0,0.006195895,2031
2030,24.0,0.006242745,2041
2040,25.0,0.00628515,2051
2050,25.0,0.006334052,2061
2060,26.0,0.006379535,2071
2070,26.0,0.00642365,2081
2080,26.0,0.006468449,2091
2090,26.0,0.006518378,2101
2100,26.0,0.00656728,2111
2110,26.0,0.006609685,2121
2120,26.0,0.006655168,2131
2130,26.0,0.006698257,2141
2140,26.0,0.006745449,2151
2150,26.0,0.0067923,2161
2160,26.0,0.006839834,2171
2170,26.0,0.006867876,2181
2180,26.0,0.006913701,2191
2190,26.0,0.006960551,2201
2200,26.0,0.006991671,2211
2210,27.0,0.007022449,2221
2220,27.0,0.007068958,2231
2230,27.0,0.007115809,2241
2240,27.0,0.007158898,2251
2250,27.0,0.007206433,2261
2260,27.0,0.007251574,2271
2270,27.0,0.007293295,2281
2280,27.0,0.007340145,2291
2290,27.0,0.007385628,2301
2300,27.0,0.00743282,2311
2310,27.0,0.007478645,2321
2320,27.0,0.007522418,2331
2330,27.0,0.007551144,2341
2340,27.0,0.007598336,2351
2350,27.0,0.00762843,2361
2360,27.0,0.007672203,2371
2370,27.0,0.007718712,2381
2380,27.0,0.007761801,2391
2390,27.0,0.007808309,2401
2400,27.0,0.00785516,2411
2410,27.0,0.007899275,2421
2420,27.0,0.007944758,2431
2430,27.0,0.00799024,2441
2440,27.0,0.008036407,2451
2450,27.0,0.008079838,2461
2460,27.0,0.008124979,2471
2470,27.0,0.008171487,2481
2480,27.0,0.008217653,2491
2490,27.0,0.008267923,2501
2500,27.0,0.008310328,2511
2510,27.0,0.008354443,2521
2520,29.0,0.008399241,2531
2530,29.0,0.008447117,2541
2540,30.0,0.008494309,2551
2550,30.0,0.00854115899999,2561
2560,30.0,0.00857911799999,2571
2570,30.0,0.008621181,2581
2580,31.0,0.00866427,2591
2590,32.0,0.00870701699999,2601
2600,32.0,0.00874907999999,2611
2610,32.0,0.00878840699999,2621
2620,32.0,0.00883149599999,2631
2630,32.0,0.00887048099999,2641
2640,32.0,0.00891356999999,2651
2650,32.0,0.00895426499999,2661
2660,32.0,0.00899359199999,2671
2670,32.0,0.00903462799999,2681
2680,32.0,0.00907737499999,2691
2690,32.0,0.00912114699999,2701
2700,32.0,0.00916526199999,2711
2710,32.0,0.00920732399999,2721
2720,32.0,0.00924733499999,2731
2730,32.0,0.00929042399999,2741
2740,32.0,0.00933146099999,2751
2750,32.0,0.00938207299999,2761
2760,32.0,0.0094214,2771
2770,32.0,0.00946277899999,2781
2780,32.0,0.009507236,2791
2790,32.0,0.009550667,2801
2800,32.0,0.009590678,2811
2810,32.0,0.00963103099999,2821
2820,32.0,0.00967309399999,2831
2830,32.0,0.009729862,2841
2840,32.0,0.009776712,2851
2850,32.0,0.009814671,2861
2860,32.0,0.009855708,2871
2870,32.0,0.00990119,2881
2880,32.0,0.009944278,2891
2890,32.0,0.009987366,2901
2900,32.0,0.010028403,2911
2910,32.0,0.010069098,2921
2920,32.0,0.010109793,2931
2930,32.0,0.010152197,2941
2940,32.0,0.01019084,2951
2950,32.0,0.010230509,2961
2960,32.0,0.010272571,2971
2970,32.0,0.010316343,2981
2980,32.0,0.010354986,2991
2990,32.0,0.010394313,3001
3000,33.0,0.010437744,3011
3010,33.0,0.010478439,3021
3020,33.0,0.010521528,3031
3030,33.0,0.010565643,3041
3040,33.0,0.010609073,3051
3050,33.0,0.010655239,3061
3060,33.0,0.010699353,3071
3070,33.0,0.01074039,3081
3080,33.0,0.010784163,3091
3090,33.0,0.01083204,3101
3100,33.0,0.010880258,3111
3110,33.0,0.010923689,3121
3120,33.0,0.010970197,3131
3130,33.0,0.011010891,3141
3140,33.0,0.011056716,3151
3150,33.0,0.01111451,3161
3160,33.0,0.011154863,3171
3170,33.0,0.011197951,3181
3180,33.0,0.011238988,3191
3190,33.0,0.011282761,3201
3200,33.0,0.011323798,3211
3210,33.0,0.011364835,3221
3220,33.0,0.011414421,3231
3230,33.0,0.011463323,3241
3240,33.0,0.011505386,3251
3250,33.0,0.011547106,3261
3260,33.0,0.011590537,3271
3270,33.0,0.011633626,3281
3280,33.0,0.011674321,3291
3290,33.0,0.011716042,3301
3300,33.0,0.011763235,3311
3310,33.0,0.011801878,3321
3320,33.0,0.01184736,3331
3330,33.0,0.011894553,3341
3340,33.0,0.011938326,3351
3350,33.0,0.011976627,3361
3360,33.0,0.012018006,3371
3370,33.0,0.012057333,3381
3380,33.0,0.012103499,3391
3390,34.0,0.012145903,3401
3400,35.0,0.012186256,3411
3410,35.0,0.012227635,3421
3420,35.0,0.012270724,3431
3430,35.0,0.012312445,3441
3440,35.0,0.012358953,3451
3450,35.0,0.012406487,3461
3460,35.0,0.012452654,3471
3470,36.0,0.01248309,3481
3480,36.0,0.0125125,3491
3490,36.0,0.01253849,3501
3500,36.0,0.012564138,3511
3510,36.0,0.01258876,3521
3520,36.0,0.012632875,3531
3530,36.0,0.012674596,3541
3540,36.0,0.012722472,3551
3550,36.0,0.012767613,3561
3560,36.0,0.012815147,3571
3570,36.0,0.012857894,3581
3580,36.0,0.012903719,3591
3590,36.0,0.012946124,3601
3600,36.0,0.012992632,3611
3610,36.0,0.013036062,3621
3620,36.0,0.013078125,3631
3630,37.0,0.013118136,3641
3640,37.0,0.013166696,3651
3650,37.0,0.013208759,3661
3660,37.0,0.013248086,3671
3670,37.0,0.013290833,3681
3680,37.0,0.013337683,3691
3690,37.0,0.013375984,3701
3700,37.0,0.013417363,3711
3710,37.0,0.013462162,3721
3720,37.0,0.013503199,3731
3730,37.0,0.013547656,3741
3740,37.0,0.013588351,3751
3750,37.0,0.013629387,3761
3760,37.0,0.013670424,3771
3770,37.0,0.013713513,3781
3780,37.0,0.013754208,3791
3790,37.0,0.013796954,3801
3800,37.0,0.01382568,3811
3810,37.0,0.013870821,3821
3820,37.0,0.013913568,3831
3830,37.0,0.013951527,3841
3840,37.0,0.0139953,3851
3850,37.0,0.014039757,3861
3860,37.0,0.014083188,3871
3870,37.0,0.014127302,3881
3880,37.0,0.014164577,3891
3890,37.0,0.014205271,3901
3900,37.0,0.014256568,3911
3910,37.0,0.014300341,3921
3920,37.0,0.014341036,3931
3930,38.0,0.014386176,3941
3940,38.0,0.014429949,3951
3950,38.0,0.014475431,3961
3960,38.0,0.014513732,3971
3970,38.0,0.014554768,3981
3980,38.0,0.014593753,3991
3990,38.0,0.01463992,4001
4000,38.0,0.014687113,4011
4010,38.0,0.014732254,4021
4020,38.0,0.014750378,4031
4030,38.0,0.014775,4041
4040,38.0,0.014798596,4051
4050,38.0,0.014818088,4061
4060,38.0,0.014859809,4071
4070,38.0,0.014902556,4081
4080,38.0,0.014943251,4091
4090,38.0,0.014983604,4101
4100,38.0,0.015022931,4111
4110,38.0,0.015066704,4121
4120,38.0,0.015112186,4131
4130,38.0,0.015159036,4141
4140,38.0,0.015202809,4151
4150,38.0,0.015244872,4161
4160,38.0,0.015290697,4171
4170,38.0,0.015330366,4181
4180,38.0,0.015372087,4191
4190,38.0,0.01541073,4201
4200,38.0,0.015452451,4211
4210,38.0,0.015492462,4221
4220,38.0,0.015531789,4231
4230,38.0,0.015571458,4241
4240,38.0,0.015616598,4251
4250,38.0,0.015659686,4261
4260,38.0,0.015699697,4271
4270,38.0,0.015744153,4281
4280,38.0,0.015787584,4291
4290,39.0,0.01583546,4301
4300,48.0,0.015876839,4311
4310,48.0,0.015907275,4321
4320,48.0,0.015933265,4331
4330,48.0,0.015958229,4341
4340,48.0,0.015982509,4351
4350,48.0,0.016025256,4361
4360,48.0,0.016066635,4371
4370,48.0,0.016105962,4381
4380,48.0,0.016143922,4391
4390,48.0,0.016189405,4401
4400,48.0,0.016228048,4411
4410,48.0,0.016268059,4421
4420,48.0,0.016309096,4431
4430,48.0,0.016349449,4441
4440,48.0,0.016399719,4451
4450,48.0,0.016435968,4461
4460,50.0,0.016476321,4471
4470,50.0,0.016510519,4481
4480,50.0,0.016549504,4491
4490,50.0,0.016583018,4501
4500,50.0,0.016652439,4511
4510,50.0,0.01666988,4521
4520,50.0,0.016683901,4531
4530,50.0,0.016704761,4541
4540,51.0,0.01672186,4551
4550,51.0,0.016740326,4561
4560,52.0,0.016785809,4571
4570,52.0,0.016821032,4581
4580,52.0,0.016854204,4591
4590,52.0,0.016889428,4601
4600,52.0,0.016920206,4611
4610,52.0,0.016951667,4621
4620,53.0,0.016998176,4631
4630,53.0,0.017033058,4641
4640,53.0,0.017097349,4651
4650,53.0,0.017131205,4661
4660,53.0,0.017161299,4671
4670,53.0,0.017198574,4681
4680,53.0,0.017232771,4691
4690,53.0,0.017275176,4701
4700,53.0,0.017313819,4711
4710,53.0,0.01733126,4721
4720,53.0,0.017344255,4731
4730,53.0,0.017372297,4741
4740,53.0,0.017389737,4751
4750,53.0,0.017405809,4761
4760,53.0,0.017423933,4771
4770,53.0,0.017441716,4781
4780,53.0,0.017479334,4791
4790,53.0,0.017512506,4801
4800,53.0,0.017546704,4811
4810,53.0,0.017585005,4821
4820,53.0,0.01761715,4831
4830,53.0,0.017650664,4841
4840,53.0,0.017681099,4851
4850,53.0,0.01771427,4861
4860,53.0,0.017749836,4871
4870,53.0,0.017787112,4881
4880,53.0,0.017822336,4891
4890,53.0,0.017854482,4901
4900,53.0,0.017884918,4911
4910,53.0,0.017921509,4921
4920,53.0,0.017952287,4931
4930,53.0,0.017988536,4941
4940,53.0,0.018026838,4951
4950,53.0,0.018061377,4961
4960,53.0,0.018095916,4971
4970,53.0,0.018132165,4981
4980,54.0,0.018171492,4991
4990,54.0,0.018202611,5001
5000,54.0,0.018236125,5011
