iterations,fitness,time,fevals
0,543.0,0.00343376100001,581
10,542.0,0.006272487,1071
20,538.0,0.009035979,1560
30,540.0,0.011509819,2048
40,545.0,0.014017514,2534
50,538.0,0.016475965,3013
60,537.0,0.018979556,3494
70,549.0,0.023848924,3986
80,549.0,0.028526102,4467
90,550.0,0.033754201,4953
100,553.0,0.036145625,5425
110,547.0,0.0385008,5910
120,549.0,0.041948239,6387
130,549.0,0.044325642,6872
140,552.0,0.046654827,7363
150,553.0,0.049028811,7857
160,545.0,0.051409292,8347
170,545.0,0.053778146,8825
180,547.0,0.056182223,9299
190,546.0,0.05851004,9784
200,547.0,0.060874448,10276
210,547.0,0.063241934,10754
220,549.0,0.065562911,11241
230,550.0,0.067900303,11719
240,551.0,0.070238721,12211
250,548.0,0.072599709,12691
260,551.0,0.074895039,13176
270,562.0,0.077198234,13655
280,554.0,0.079479201,14136
290,554.0,0.08178479,14616
300,554.0,0.086908245,15098
310,557.0,0.08922717,15579
320,557.0,0.091556012,16052
330,562.0,0.093881777,16515
340,556.0,0.09621404,17009
350,561.0,0.098542541,17485
360,565.0,0.100826927,17967
370,567.0,0.103141065,18453
380,565.0,0.105472301,18939
390,564.0,0.107803538,19420
400,565.0,0.110149138,19909
410,567.0,0.112477639,20394
420,561.0,0.114784254,20872
430,561.0,0.117086423,21363
440,563.0,0.119474428,21842
450,563.0,0.1218361,22330
460,561.0,0.124124248,22802
470,559.0,0.126447619,23287
480,565.0,0.128761757,23758
490,567.0,0.131075895,24240
500,561.0,0.133426625,24740
510,557.0,0.138531271,25223
520,559.0,0.140943213,25713
530,557.0,0.143245724,26191
540,561.0,0.145542421,26676
550,557.0,0.147865109,27162
560,555.0,0.15011735,27641
570,563.0,0.152424649,28121
580,561.0,0.154705274,28616
590,557.0,0.157004023,29093
600,553.0,0.1610954,29569
610,555.0,0.163374315,30054
620,561.0,0.165704184,30533
630,551.0,0.167980363,31024
640,553.0,0.170351268,31507
650,553.0,0.17266267,31980
660,554.0,0.175026053,32455
670,555.0,0.177328222,32941
680,553.0,0.179621157,33425
690,551.0,0.181985565,33914
700,561.0,0.184307569,34401
710,555.0,0.186597427,34878
720,565.0,0.191797826,35364
730,557.0,0.194141715,35846
740,559.0,0.196463035,36333
750,563.0,0.19879393,36818
760,555.0,0.201145685,37307
770,557.0,0.203491969,37800
780,555.0,0.205951446,38296
790,557.0,0.20831346,38771
800,553.0,0.210640593,39257
810,553.0,0.212988928,39749
820,555.0,0.215346839,40239
830,557.0,0.217620624,40731
840,559.0,0.219974773,41232
850,557.0,0.222247532,41710
860,559.0,0.224641692,42186
870,555.0,0.227057738,42685
880,557.0,0.229379742,43181
890,555.0,0.231785871,43656
900,555.0,0.234081884,44141
910,563.0,0.236765696,44634
920,553.0,0.24115288,45113
930,555.0,0.245388912,45607
940,557.0,0.249469346,46081
950,559.0,0.251797163,46571
960,559.0,0.254153364,47061
970,557.0,0.256547181,47535
980,563.0,0.258940315,48024
990,555.0,0.261311905,48517
1000,553.0,0.263689992,49002
1010,551.0,0.26600926,49482
1020,553.0,0.268343574,49968
1030,553.0,0.270667629,50455
1040,551.0,0.272981425,50943
1050,549.0,0.277301582,51421
1060,549.0,0.279689586,51908
1070,555.0,0.281971236,52385
1080,549.0,0.284301105,52871
1090,553.0,0.286586175,53363
1100,550.0,0.288886292,53839
1110,553.0,0.291181621,54338
1120,551.0,0.293495417,54818
1130,552.0,0.295829732,55301
1140,556.0,0.29811959,55791
1150,553.0,0.302473603,56270
1160,553.0,0.304797316,56761
1170,555.0,0.307135735,57242
1180,559.0,0.309421831,57730
1190,555.0,0.311801286,58217
1200,555.0,0.314134232,58687
1210,559.0,0.316453158,59162
1220,555.0,0.320717232,59642
1230,555.0,0.323075143,60133
1240,557.0,0.325375602,60604
1250,559.0,0.327763606,61080
1260,558.0,0.330081506,61568
1270,561.0,0.332403509,62043
1280,561.0,0.334705336,62528
1290,559.0,0.337055039,63013
1300,559.0,0.339365415,63516
1310,561.0,0.341763336,63995
1320,563.0,0.344082603,64476
1330,561.0,0.34639127,64962
1340,559.0,0.348675998,65453
1350,559.0,0.351080417,65930
1360,559.0,0.356070501,66421
1370,557.0,0.358408919,66899
1380,561.0,0.360696041,67373
1390,557.0,0.362954095,67845
1400,553.0,0.365276783,68333
1410,553.0,0.367597418,68816
1420,555.0,0.370011412,69296
1430,559.0,0.372353592,69782
1440,549.0,0.374680041,70262
1450,549.0,0.377022221,70731
1460,549.0,0.379324048,71212
1470,549.0,0.381667596,71704
1480,551.0,0.386098553,72173
1490,551.0,0.388458516,72650
1500,549.0,0.39081711,73130
1510,548.0,0.393226316,73612
1520,552.0,0.395584568,74086
1530,555.0,0.397930168,74566
1540,556.0,0.400249094,75044
1550,555.0,0.40259572,75524
1560,559.0,0.404930034,76008
1570,557.0,0.410051778,76492
1580,557.0,0.412456197,76968
1590,557.0,0.414778542,77461
1600,559.0,0.417061561,77938
1610,557.0,0.41943999,78421
1620,559.0,0.42183586,78916
1630,561.0,0.424256352,79406
1640,562.0,0.426671372,79895
1650,561.0,0.428977645,80379
1660,565.0,0.433210941,80869
1670,563.0,0.437519471,81344
1680,569.0,0.43987191,81833
1690,568.0,0.442214773,82311
1700,567.0,0.444556611,82798
1710,563.0,0.446876221,83285
1720,565.0,0.449212929,83769
1730,565.0,0.451528435,84247
1740,567.0,0.453846334,84729
1750,569.0,0.456101995,85200
1760,559.0,0.460610238,85694
1770,563.0,0.462979434,86189
1780,561.0,0.467364225,86664
1790,561.0,0.469689306,87141
1800,561.0,0.471977454,87621
1810,563.0,0.474353148,88106
1820,563.0,0.476701484,88593
1830,565.0,0.479071364,89076
1840,565.0,0.481416622,89561
1850,569.0,0.483741019,90036
1860,569.0,0.486033954,90506
1870,571.0,0.488312869,90994
1880,571.0,0.490596229,91472
1890,571.0,0.49292302,91954
1900,569.0,0.495302817,92431
1910,569.0,0.497627556,92907
1920,569.0,0.499983073,93387
1930,567.0,0.502332435,93876
1940,565.0,0.504660594,94358
