iterations,fitness,time,fevals
0,561.0,10.970917506,1000
10,613.0,21.415009717,2100
20,649.0,30.884675427,3200
30,693.0,39.603466112,4300
40,705.0,47.827554828,5400
50,713.0,56.081717421,6500
60,727.0,64.126630575,7600
70,733.0,72.06540321,8700
80,731.0,80.08186789,9800
90,735.0,87.782749055,10900
100,733.0,95.791092195,12000
110,733.0,103.786542915,13100
120,733.0,111.578267418,14200
130,733.0,119.24791131,15300
140,735.0,127.237711935,16400
150,735.0,135.105363555,17500
160,735.0,142.982749807,18600
170,735.0,150.992363038,19700
180,735.0,158.847939214,20800
190,737.0,166.614913007,21900
200,735.0,174.364444418,23000
210,735.0,182.15393378,24100
220,735.0,189.686202617,25200
230,735.0,197.582934337,26300
240,735.0,205.358454402,27400
250,735.0,213.216049593,28500
260,735.0,221.111781382,29600
270,737.0,229.175428213,30700
280,739.0,237.161233214,31800
290,735.0,244.928033285,32900
300,737.0,252.819686692,34000
310,737.0,260.636163272,35100
320,737.0,268.514116517,36200
330,737.0,276.452621728,37300
340,739.0,284.224333913,38400
350,739.0,291.836283031,39500
360,739.0,299.683874115,40600
370,739.0,307.411069494,41700
380,739.0,315.408684225,42800
390,739.0,323.15554174,43900
400,739.0,330.848877249,45000
410,739.0,338.596710075,46100
420,739.0,346.43022551,47200
430,739.0,354.484994012,48300
440,743.0,362.083648891,49400
450,739.0,370.082692048,50500
460,743.0,377.896342214,51600
470,741.0,385.744929126,52700
480,745.0,393.667781503,53800
490,745.0,401.562188484,54900
500,743.0,409.255728151,56000
510,743.0,417.066426397,57100
520,745.0,425.063210474,58200
530,741.0,433.083814065,59300
540,743.0,441.160424446,60400
550,743.0,449.157497148,61500
560,743.0,456.946106952,62600
570,745.0,465.1226052,63700
580,747.0,473.338401047,64800
590,743.0,481.392794746,65900
600,747.0,489.389225564,67000
610,745.0,497.407595381,68100
620,745.0,505.401593054,69200
630,745.0,513.54719874,70300
640,745.0,521.592334177,71400
650,751.0,529.822265861,72500
660,747.0,537.76869632,73600
670,747.0,545.805821017,74700
680,747.0,553.972866419,75800
690,747.0,561.991579577,76900
700,747.0,569.968808213,78000
710,749.0,578.03020212,79100
720,751.0,586.286022261,80200
730,751.0,594.576925855,81300
740,751.0,602.541520604,82400
750,751.0,610.481544522,83500
760,753.0,618.412794755,84600
770,751.0,626.317938352,85700
780,751.0,634.324704308,86800
790,757.0,642.481442273,87900
800,753.0,650.721335659,89000
810,753.0,658.826983393,90100
820,755.0,666.895181898,91200
830,755.0,674.993582519,92300
840,757.0,683.072477971,93400
850,757.0,691.145946295,94500
860,757.0,699.118549732,95600
870,757.0,707.168272066,96700
880,759.0,715.151875439,97800
890,759.0,723.398840163,98900
900,759.0,731.445968625,100000
910,761.0,739.592457287,101100
920,761.0,747.604605571,102200
930,759.0,755.540046695,103300
940,759.0,763.557531825,104400
950,761.0,771.580054574,105500
960,761.0,779.615105882,106600
970,761.0,787.537339287,107700
