iterations,fitness,time,fevals
0,487.0,4.27470000002e-05,11
10,491.0,9.16490000007e-05,21
20,495.0,0.000138842000001,31
30,497.0,0.000185009000001,41
40,501.0,0.000222284000001,51
50,503.0,0.000272554000001,61
60,509.0,0.000321456000002,71
70,509.0,0.000368990000002,81
80,515.0,0.000407292000002,91
90,523.0,0.000459614000002,101
100,527.0,0.000507832000002,111
110,531.0,0.000556735000003,121
120,531.0,0.000604611000003,131
130,533.0,0.000652829000003,141
140,541.0,0.000701389000003,151
150,543.0,0.000746530000003,161
160,543.0,0.000835785000003,171
170,545.0,0.000888107000003,181
180,547.0,0.000978046000003,191
190,547.0,0.001044389,201
200,553.0,0.001095343,211
210,553.0,0.001146298,221
220,557.0,0.001200672,231
230,561.0,0.001246838,241
240,561.0,0.001292663,251
250,563.0,0.001342249,261
260,565.0,0.001391151,271
270,565.0,0.001437659,281
280,565.0,0.001482457,291
290,571.0,0.001530333,301
300,573.0,0.001576841,311
310,577.0,0.00161651,321
320,579.0,0.001707475,331
330,579.0,0.001764927,341
340,581.0,0.001812804,351
350,587.0,0.001869572,361
360,587.0,0.00192121,371
370,587.0,0.001972506,381
380,589.0,0.002017988,391
390,593.0,0.002057999,401
400,595.0,0.002106217,411
410,595.0,0.00215341,421
420,595.0,0.00220539,431
430,599.0,0.002263526,441
440,599.0,0.00231106,451
450,599.0,0.002358594,461
460,603.0,0.002397921,471
470,609.0,0.002451611,481
480,609.0,0.002555571,491
490,611.0,0.002614048,501
500,613.0,0.002663976,511
510,613.0,0.002713562,521
520,613.0,0.002760755,531
530,613.0,0.002803502,541
540,615.0,0.002842487,551
550,617.0,0.002895151,561
560,619.0,0.002944053,571
570,619.0,0.002995007,581
580,619.0,0.003047671,591
590,623.0,0.003102387,601
600,625.0,0.003148554,611
610,627.0,0.003195405,621
620,629.0,0.00324636,631
630,629.0,0.003290475,641
640,631.0,0.003357844,651
650,633.0,0.003436498,661
660,635.0,0.003486768,671
670,635.0,0.00353567,681
680,639.0,0.00358252,691
690,641.0,0.003627318,701
700,641.0,0.003666303,711
710,643.0,0.003701185,721
720,645.0,0.003749404,731
730,647.0,0.003795913,741
740,647.0,0.003833188,751
750,647.0,0.003866702,761
760,653.0,0.003915605,771
770,653.0,0.00395288,781
780,653.0,0.003999388,791
790,653.0,0.004041793,801
800,653.0,0.004079068,811
810,653.0,0.004123525,821
820,653.0,0.004168665,831
830,653.0,0.00421107,841
840,655.0,0.004248688,851
850,655.0,0.00429759,861
860,656.0,0.004343073,871
870,660.0,0.004388898,881
880,662.0,0.004427541,891
890,662.0,0.004510299,901
900,662.0,0.004599555,911
910,664.0,0.004656322,921
920,666.0,0.004707618,931
930,666.0,0.004751391,941
940,670.0,0.004796531,951
950,670.0,0.004832439,961
960,670.0,0.004880657,971
970,670.0,0.004919984,981
980,672.0,0.00496615,991
990,672.0,0.005011291,1001
1000,672.0,0.0050855,1011
1010,674.0,0.005128931,1021
1020,674.0,0.005173046,1031
1030,676.0,0.005217161,1041
1040,676.0,0.005262986,1051
1050,676.0,0.005299919,1061
1060,676.0,0.005349163,1071
1070,678.0,0.005394645,1081
1080,682.0,0.005432604,1091
1090,682.0,0.005481506,1101
1100,682.0,0.005528356,1111
1110,682.0,0.005572471,1121
1120,682.0,0.005616586,1131
1130,684.0,0.005663094,1141
1140,684.0,0.00571097,1151
1150,684.0,0.005758162,1161
1160,684.0,0.0058098,1171
1170,684.0,0.005853572,1181
1180,684.0,0.005900081,1191
1190,684.0,0.00593804,1201
1200,684.0,0.00598318,1211
1210,686.0,0.00602661,1221
1220,688.0,0.006105606,1231
1230,688.0,0.006179472,1241
1240,688.0,0.006288562,1251
1250,688.0,0.006366532,1261
1260,688.0,0.006514949,1271
1270,690.0,0.006581634,1281
1280,690.0,0.006657894,1291
1290,690.0,0.0067386,1301
1300,690.0,0.006817254,1311
1310,690.0,0.006895566,1321
1320,694.0,0.006973536,1331
1330,696.0,0.007051848,1341
1340,696.0,0.007130844,1351
1350,696.0,0.007210866,1361
1360,696.0,0.00728781,1371
1370,696.0,0.007359966,1381
1380,698.0,0.007437594,1391
1390,702.0,0.007514196,1401
1400,702.0,0.007593192,1411
1410,702.0,0.007670136,1421
1420,708.0,0.007747764,1431
1430,708.0,0.007825392,1441
1440,708.0,0.007869164,1451
1450,708.0,0.007924222,1461
1460,708.0,0.007985093,1471
1470,710.0,0.008030917,1481
1480,710.0,0.008085974,1491
1490,712.0,0.008143767,1501
1500,714.0,0.008199851,1511
1510,714.0,0.008260039,1521
1520,714.0,0.008317832,1531
1530,716.0,0.00837289,1541
1540,716.0,0.00842829,1551
1550,716.0,0.008484032,1561
1560,718.0,0.008534644,1571
1570,718.0,0.008590044,1581
1580,718.0,0.008658439,1591
1590,718.0,0.008704264,1601
1600,720.0,0.008813696,1611
1610,720.0,0.008858494,1621
1620,720.0,0.008905687,1631
1630,724.0,0.008954589,1641
1640,724.0,0.009005886,1651
1650,724.0,0.009063338,1661
1660,728.0,0.009111215,1671
1670,728.0,0.009163537,1681
1680,728.0,0.009211072,1691
1690,730.0,0.009258607,1701
1700,732.0,0.009302038,1711
1710,732.0,0.009341707,1721
1720,732.0,0.009388216,1731
1730,732.0,0.00943404,1741
1740,732.0,0.009478497,1751
1750,732.0,0.009520901,1761
1760,732.0,0.009561938,1771
1770,734.0,0.00960947299999,1781
1780,736.0,0.009654614,1791
1790,738.0,0.009695308,1801
1800,740.0,0.009728138,1811
1810,740.0,0.009764045,1821
1820,740.0,0.009804056,1831
1830,740.0,0.009845777,1841
1840,742.0,0.00988544599999,1851
1850,742.0,0.009939819,1861
1860,742.0,0.00998496,1871
1870,746.0,0.010038308,1881
1880,746.0,0.010084474,1891
1890,746.0,0.010169283,1901
