iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.25,0.25,0.25,0.5,0.5,0.5,0.163070639
10,0.08664388,0.144487061,0.146136915,0.799450549,0.686813187,0.680769231,1.358310089
20,0.013115973,0.13218335,0.147773878,0.964972527,0.700549451,0.674358974,2.601283634
30,0.000795452,0.123387349,0.146198964,0.998626374,0.725274725,0.679487179,3.843647099
40,0.000341104,0.121748583,0.146766362,0.999313187,0.733516484,0.683333333,5.018081191
50,7.70E-06,0.128735404,0.145372747,1,0.717032967,0.684615385,6.250385148
60,5.28E-08,0.128762154,0.146944849,1,0.728021978,0.685897436,7.433747157
70,3.25E-09,0.126551937,0.147167963,1,0.725274725,0.692307692,8.634001654
80,0.001364725,0.129461886,0.147085388,0.997252747,0.728021978,0.688461538,9.804054033
90,2.24E-11,0.129106005,0.15052631,1,0.71978022,0.679487179,10.98361192
100,9.56E-13,0.138882654,0.15669881,1,0.697802198,0.671794872,12.12884657
110,6.27E-14,0.141980669,0.15497253,1,0.697802198,0.671794872,13.29314934
120,4.37E-15,0.141298515,0.154471143,1,0.700549451,0.673076923,14.46712792
130,1.66E-16,0.138653874,0.156588866,1,0.714285714,0.673076923,15.64977555
140,8.14E-18,0.134450354,0.1539566,1,0.71978022,0.676923077,16.83962959
150,3.06E-19,0.132468438,0.150079979,1,0.717032967,0.685897436,18.01489502
160,5.11E-21,0.136037482,0.153155454,1,0.714285714,0.680769231,19.17084063
170,1.28E-22,0.134510657,0.154231332,1,0.722527473,0.682051282,20.35243224
180,2.97E-24,0.133052199,0.155459597,1,0.728021978,0.679487179,21.52462435
190,1.10E-24,0.134797319,0.155573765,1,0.722527473,0.683333333,22.70432005
200,5.31E-23,0.139423339,0.154387499,1,0.711538462,0.685897436,23.9035028
210,3.36E-27,0.140419657,0.153664038,1,0.706043956,0.682051282,25.116951
220,5.94E-29,0.143677688,0.153380384,1,0.695054945,0.684615385,26.31766066
230,8.28E-31,0.145358276,0.152343,1,0.697802198,0.684615385,27.53405086
240,5.92E-30,0.148713825,0.154696069,1,0.68956044,0.683333333,28.71204525
250,5.51E-33,0.152425119,0.1529401,1,0.686813187,0.687179487,29.88879211
260,6.61E-34,0.15352658,0.151174059,1,0.68956044,0.691025641,31.0924065
270,6.87E-34,0.154341415,0.151065328,1,0.684065934,0.692307692,32.26542687
280,1.26E-33,0.154368173,0.150878148,1,0.686813187,0.688461538,33.46154622
290,4.25E-34,0.153904681,0.152759526,1,0.686813187,0.685897436,34.6515497
300,3.25E-34,0.152332497,0.152751463,1,0.68956044,0.685897436,35.82600192
310,5.18E-34,0.150937079,0.152696648,1,0.692307692,0.687179487,37.00288523
320,5.47E-29,0.14936331,0.152745394,1,0.695054945,0.687179487,38.16401414
330,3.10E-34,0.148591781,0.152572218,1,0.695054945,0.684615385,39.35892666
340,8.58E-33,0.148455879,0.151911464,1,0.695054945,0.687179487,40.55628806
350,5.79E-34,0.148552135,0.151915132,1,0.695054945,0.687179487,41.73036342
360,2.17E-34,0.148139233,0.151792953,1,0.695054945,0.688461538,42.88942134
370,3.55E-34,0.147865697,0.15248954,1,0.695054945,0.687179487,44.07571885
380,2.16E-34,0.14710134,0.153030484,1,0.697802198,0.688461538,45.25976241
390,1.97E-34,0.148098731,0.153296426,1,0.695054945,0.687179487,46.45657973
400,2.96E-34,0.150145132,0.153469973,1,0.68956044,0.685897436,47.64190638
410,2.62E-34,0.150786009,0.153859697,1,0.686813187,0.687179487,48.8397226
420,3.00E-34,0.151331719,0.154510829,1,0.686813187,0.683333333,50.07120137
430,2.15E-34,0.152349444,0.15504031,1,0.684065934,0.683333333,51.26600002
440,3.30E-34,0.153086183,0.155201312,1,0.684065934,0.682051282,52.45527647
450,3.96E-34,0.153636875,0.155114321,1,0.681318681,0.680769231,53.63590918
460,2.57E-34,0.154719707,0.154633629,1,0.681318681,0.682051282,54.80272443
470,2.23E-34,0.155563671,0.154087984,1,0.681318681,0.682051282,55.98631112
480,2.58E-34,0.155825782,0.153018346,1,0.678571429,0.683333333,57.1760954
490,3.60E-34,0.156136306,0.153091361,1,0.678571429,0.683333333,58.35982092
500,3.12E-34,0.15748297,0.152946853,1,0.675824176,0.683333333,59.59181231
510,2.31E-34,0.15717746,0.152998736,1,0.675824176,0.683333333,60.78871854
520,3.37E-34,0.157610229,0.153252949,1,0.673076923,0.680769231,62.00059024
530,5.26E-33,0.158914337,0.153267782,1,0.67032967,0.683333333,63.18512795
540,0.000305344,0.159236178,0.153424867,0.999313187,0.667582418,0.685897436,64.37977134
550,2.51E-34,0.160360671,0.154124489,1,0.664835165,0.682051282,65.58898556
560,2.81E-34,0.160757261,0.154427059,1,0.664835165,0.680769231,66.76059084
570,2.44E-34,0.160902152,0.155050917,1,0.664835165,0.680769231,67.97399253
580,1.92E-34,0.160997575,0.155275055,1,0.667582418,0.680769231,69.16170923
590,2.75E-34,0.160919585,0.155398469,1,0.667582418,0.680769231,70.36094978
600,2.07E-34,0.161119673,0.15549802,1,0.667582418,0.680769231,71.53806392
610,3.25E-34,0.161475275,0.155656436,1,0.667582418,0.679487179,72.72042258
620,2.89E-34,0.161478605,0.155789038,1,0.667582418,0.679487179,73.96077524
630,1.21E-34,0.161583778,0.155793211,1,0.67032967,0.679487179,75.15656287
640,3.57E-34,0.161496298,0.155799689,1,0.67032967,0.680769231,76.36592413
650,2.06E-34,0.161488124,0.155627606,1,0.67032967,0.680769231,77.57079391
660,3.75E-34,0.161524005,0.155684055,1,0.67032967,0.679487179,78.78622795
670,1.89E-34,0.161621582,0.155923708,1,0.67032967,0.679487179,79.95395764
680,3.25E-34,0.161854188,0.155877049,1,0.67032967,0.679487179,81.13901071
690,2.91E-34,0.161873107,0.15600547,1,0.667582418,0.679487179,82.3666963
700,4.95E-34,0.16190835,0.156213865,1,0.667582418,0.679487179,83.5413626
710,1.72E-34,0.162306467,0.156180357,1,0.664835165,0.680769231,84.73964356
720,4.77E-34,0.162490104,0.15628224,1,0.664835165,0.680769231,85.90976126
730,1.73E-34,0.1624138,0.15643567,1,0.664835165,0.679487179,87.08706178
740,3.09E-34,0.162406723,0.156642226,1,0.664835165,0.679487179,88.26252761
750,1.22E-34,0.162342737,0.156672718,1,0.664835165,0.678205128,89.4662805
760,3.42E-34,0.162291883,0.156628644,1,0.664835165,0.678205128,90.67689373
770,2.57E-34,0.162233703,0.156587343,1,0.664835165,0.678205128,91.86857494
780,2.90E-34,0.162188518,0.156599925,1,0.664835165,0.676923077,93.08532113
790,2.89E-34,0.16223504,0.156627248,1,0.664835165,0.676923077,94.30048057
800,2.37E-34,0.162236544,0.156731655,1,0.664835165,0.676923077,95.50866886
810,4.06E-34,0.162175707,0.156774807,1,0.664835165,0.676923077,96.69293642
820,2.02E-34,0.162122405,0.156812728,1,0.664835165,0.676923077,97.87792793
830,1.85E-34,0.162168098,0.157156467,1,0.664835165,0.675641026,99.10149035
840,1.84E-34,0.162358114,0.157400005,1,0.664835165,0.675641026,100.2713516
850,3.36E-34,0.162908656,0.157407328,1,0.662087912,0.675641026,101.43878
860,9.95E-35,0.162984109,0.157376995,1,0.662087912,0.676923077,102.6600755
870,1.84E-34,0.163077,0.157332211,1,0.662087912,0.676923077,103.8272173
880,3.53E-34,0.163104239,0.15738616,1,0.659340659,0.676923077,105.0260341
890,5.39E-34,0.163098872,0.157288075,1,0.659340659,0.676923077,106.1950332
900,2.85E-34,0.163148075,0.157308404,1,0.659340659,0.676923077,107.3799697
910,2.68E-34,0.163211983,0.157349877,1,0.659340659,0.676923077,108.6114006
920,2.84E-34,0.163250902,0.157415412,1,0.659340659,0.676923077,109.7908408
930,3.86E-34,0.163309176,0.157355828,1,0.659340659,0.676923077,110.9729061
940,1.66E-34,0.163406881,0.157170288,1,0.659340659,0.678205128,112.1828952
950,1.49E-34,0.163529464,0.157024366,1,0.659340659,0.676923077,113.4004666
960,1.49E-34,0.163628795,0.156894013,1,0.659340659,0.678205128,114.600403
970,1.66E-34,0.163578063,0.156806854,1,0.659340659,0.678205128,115.7898484
980,2.00E-34,0.163605592,0.156809182,1,0.659340659,0.676923077,116.9850715
990,3.19E-34,0.163610166,0.156821965,1,0.659340659,0.676923077,118.1847566
1000,4.54E-34,0.163572504,0.156794943,1,0.659340659,0.676923077,119.3690795
1010,1.33E-34,0.163633989,0.156557291,1,0.659340659,0.676923077,120.5419717
1020,2.18E-34,0.163700253,0.15646874,1,0.659340659,0.676923077,121.7672327
1030,1.33E-34,0.163875182,0.156552013,1,0.659340659,0.679487179,122.9383499
1040,3.02E-34,0.163853331,0.156500987,1,0.659340659,0.679487179,124.2092768
1050,1.66E-34,0.163884429,0.156653582,1,0.659340659,0.678205128,125.4130936
1060,1.99E-34,0.163951178,0.157070914,1,0.662087912,0.679487179,126.5989702
1070,2.49E-34,0.164040687,0.157110802,1,0.662087912,0.679487179,127.8300861
1080,3.33E-34,0.164176895,0.157125572,1,0.662087912,0.679487179,129.0469653
1090,1.30E-34,0.164263662,0.157123674,1,0.662087912,0.680769231,130.2783555
1100,2.31E-34,0.164209295,0.157183757,1,0.662087912,0.680769231,131.5202973
1110,4.00E-34,0.164190774,0.157243078,1,0.662087912,0.680769231,132.7506647
1120,5.02E-34,0.164425339,0.157230662,1,0.662087912,0.680769231,133.9829782
1130,4.34E-34,0.16475659,0.157239859,1,0.656593407,0.680769231,135.1971104
1140,2.65E-34,0.16558431,0.157230698,1,0.656593407,0.680769231,136.4309289
1150,2.82E-34,0.165900652,0.157102831,1,0.659340659,0.680769231,137.6187817
1160,1.30E-34,0.165942677,0.156939603,1,0.656593407,0.680769231,138.8296696
1170,2.83E-34,0.164924412,0.156916775,1,0.659340659,0.680769231,140.0341191
