iterations,fitness,time,fevals
0,0.0198177281854,3.1804000173e-05,11
10,0.0194294379793,7.31830004952e-05,21
20,0.0194369932169,0.000115245999041,31
30,0.0199665349514,0.000148076000187,41
40,0.0204265935099,0.000204501999178,51
50,0.0204328868043,0.000237331998505,61
60,0.0209220595568,0.000268451998636,71
70,0.0219371206357,0.000298887998724,81
80,0.0223491426216,0.000320431998261,91
90,0.022688650443,0.000354287998562,101
100,0.0231153863471,0.000387800997487,111
110,0.0235814907934,0.00041960499766,121
120,0.0242090362013,0.000451066996902,131
130,0.0257494834566,0.00049415599824,141
140,0.026705311928,0.000527326998053,151
150,0.0274370337541,0.000559130998226,161
160,0.0275628695083,0.00059127699933,171
170,0.028481693138,0.000628209998467,181
180,0.0285013351338,0.000658645998556,191
190,0.028690854304,0.000671298997986,201
200,0.028690854304,0.000711993998266,211
210,0.0287642498269,0.000746191997678,221
220,0.0287642498269,0.000763289997849,231
230,0.0291933428281,0.000779362997491,241
240,0.0294301325309,0.000793383997006,251
250,0.0294301325309,0.0008152709961,261
260,0.0294301325309,0.000829291997434,271
270,0.0294301325309,0.000842286997795,281
280,0.0294301325309,0.000856648997797,291
290,0.0295644870312,0.000869985997269,301
300,0.0295644870312,0.00089255599778,311
310,0.0296467904696,0.000905550996322,321
320,0.0296467904696,0.000919571997656,331
330,0.0302187241679,0.00093598699641,341
340,0.0307826347562,0.00095855699692,351
350,0.0307826347562,0.000975655997536,361
360,0.0309116271731,0.00099241299904,371
370,0.0313772408015,0.00100643399855,381
380,0.0313772408015,0.00102284799868,391
390,0.0316065023136,0.00103686900002,401
400,0.0321259457234,0.00105054800042,411
410,0.0322183581272,0.00106354300078,421
420,0.0329481296882,0.00109568800144,431
430,0.0329481296882,0.00111449700125,441
440,0.0336607675251,0.00113159600187,451
450,0.0336607675251,0.00114869400204,461
460,0.0336607675251,0.00116579300266,471
470,0.0336878745571,0.00118665400259,481
480,0.0336878745571,0.00121811500321,491
490,0.0342786310267,0.00123213600273,501
500,0.0342786310267,0.00124718200277,511
510,0.0346739636687,0.00126291300148,521
520,0.0348076351354,0.00127727600193,531
530,0.0349268678324,0.00129163900056,541
540,0.0350348561575,0.00130497600185,551
550,0.0351109045636,0.00132481000219,561
560,0.0355164913287,0.00136071700217,571
570,0.0355164913287,0.00140414700218,581
580,0.0355164913287,0.00142569100171,591
590,0.0355164913287,0.00145715200051,601
600,0.0355164913287,0.0014875880006,611
610,0.0357229270551,0.00152007500037,621
620,0.0362489668735,0.0015511950005,631
630,0.037412902773,0.00158163100059,641
640,0.0375757792947,0.00161309299983,651
650,0.0375757792947,0.00163019200045,661
660,0.0376436809361,0.00164318699899,671
670,0.0376617633631,0.00165652399846,681
680,0.0376617633631,0.00167020299887,691
690,0.0376617633631,0.00168353999834,701
700,0.037664215846,0.00170029699802,711
710,0.0380351059449,0.00171807999868,721
720,0.0380809381395,0.00173996699777,731
730,0.0380809381395,0.00177245399755,741
740,0.0380809381395,0.00178544899791,751
750,0.0383972406169,0.00180152099892,761
760,0.0390831037605,0.00182306499846,771
770,0.0392180899988,0.00184666099995,781
780,0.0394716189936,0.00187230899974,791
790,0.0395372931867,0.00188974999946,801
800,0.0401060292972,0.00190616500004,811
810,0.0410761730583,0.00192292199972,821
820,0.0410761730583,0.00194480900063,831
830,0.0410761730583,0.00196635300017,841
840,0.0410761730583,0.0019974730003,851
850,0.04124444318,0.00203030299963,861
860,0.0413583963472,0.00207715399847,871
870,0.0413583963472,0.00211340299938,881
880,0.0413583963472,0.00215443999878,891
890,0.0413583963472,0.00218453299931,901
900,0.0413583963472,0.0022149689994,911
910,0.0413583963472,0.00225292799951,921
920,0.0413583963472,0.00228644100025,931
930,0.0415830763766,0.00232439999854,941
940,0.0415964098062,0.00235483599863,951
950,0.0415964098062,0.00238595599876,961
960,0.0415964098062,0.00241775899849,971
970,0.0415964098062,0.00244785299947,981
980,0.0417782466208,0.00249230900044,991
990,0.0417782466208,0.00252684800216,1001
1000,0.0420141797156,0.00255967700286,1011
1010,0.0424736457917,0.00259524200192,1021
1020,0.0424736457917,0.00261781200061,1031
1030,0.0427307065636,0.00265235100051,1041
1040,0.0432567035743,0.00268791599956,1051
1050,0.0432567035743,0.00272074599889,1061
1060,0.0432567035743,0.00275460199919,1071
1070,0.0433169563883,0.00279050899917,1081
1080,0.0433169563883,0.00281307899786,1091
1090,0.0433169563883,0.00285172199801,1101
1100,0.043480248677,0.00287292399844,1111
1110,0.043480248677,0.00290164999751,1121
1120,0.043480248677,0.00292216799789,1131
1130,0.043480248677,0.00295568099864,1141
1140,0.043480248677,0.00297004399908,1151
1150,0.0439440228941,0.0029878259993,1161
1160,0.0439440228941,0.00300253099886,1171
1170,0.0439440228941,0.00301894599761,1181
1180,0.0439440228941,0.0030551949967,1191
1190,0.0439440228941,0.00309383799686,1201
1200,0.0439440228941,0.00313761099642,1211
1210,0.0439440228941,0.0031735179964,1221
1220,0.0439440228941,0.00320463799653,1231
1230,0.0439440228941,0.00322515699736,1241
1240,0.0442533972145,0.00324293999802,1251
1250,0.0442533972145,0.00325559299927,1261
1260,0.0442533972145,0.00327440199908,1271
1270,0.0442662810892,0.00329047499872,1281
1280,0.0442662810892,0.00332398799947,1291
1290,0.0443268866869,0.00336433999837,1301
1300,0.0445741485916,0.00339751099818,1311
1310,0.0445741485916,0.00342931499836,1321
1320,0.0446187846039,0.00346487999923,1331
1330,0.0446397955137,0.00349976100006,1341
1340,0.0446397955137,0.00352130499959,1351
1350,0.0446397955137,0.00354729500032,1361
1360,0.0456592845591,0.00359551300062,1371
1370,0.0460937879377,0.00361637300193,1381
1380,0.0460937879377,0.0036382590024,1391
1390,0.0460937879377,0.0036519380028,1401
1400,0.0460937879377,0.00366972100164,1411
1410,0.0461875737607,0.00371349300076,1421
1420,0.0461875737607,0.00375795000036,1431
1430,0.0461875737607,0.00378086300043,1441
1440,0.0461875737607,0.00380685299933,1451
1450,0.0461875737607,0.00383489500018,1461
1460,0.0463095135613,0.00385712300158,1471
1470,0.0463158082272,0.00388448100239,1481
1480,0.0463158082272,0.00390363200131,1491
1490,0.0463627120146,0.00391833700269,1501
1500,0.0463627120146,0.00395219300117,1511
1510,0.0463627120146,0.00396553000246,1521
1520,0.0463961271991,0.00399049400221,1531
1530,0.0463961271991,0.00400827600242,1541
1540,0.0463961271991,0.00402229700194,1551
1550,0.0465472929126,0.00405273300203,1561
1560,0.0465472929126,0.00407051600268,1571
1570,0.0465472929126,0.0040845370022,1581
1580,0.0465472929126,0.00411805100339,1591
1590,0.0465812719949,0.00413617600316,1601
1600,0.0465812719949,0.00415566800439,1611
1610,0.0465812719949,0.00417379300416,1621
1620,0.0476133556525,0.00420628000575,1631
1630,0.047714208559,0.00424834300429,1641
1640,0.047714208559,0.00428185600322,1651
1650,0.0477708517048,0.00432768100291,1661
1660,0.0485854520864,0.00434512200263,1671
1670,0.0485854520864,0.00437555800272,1681
1680,0.0486432592576,0.0043977860023,1691
1690,0.0486432592576,0.00441556900296,1701
1700,0.0486837183249,0.00443574500423,1711
1710,0.0487629498063,0.00445147500432,1721
1720,0.0487629498063,0.0044665220048,1731
1730,0.0487629498063,0.00448122700436,1741
1740,0.0488318764292,0.00450584900318,1751
1750,0.0488318764292,0.00452329000291,1761
1760,0.0488318764292,0.00455680400228,1771
1770,0.0488318764292,0.00457527100116,1781
1780,0.0488318764292,0.00458929200249,1791
1790,0.0488318764292,0.00461801800338,1801
1800,0.0488851409682,0.00465153100413,1811
1810,0.0488851409682,0.00468470200394,1821
1820,0.04919813773,0.00471958300295,1831
1830,0.04919813773,0.00475343800281,1841
1840,0.0496223361829,0.00478900300186,1851
1850,0.0496223361829,0.00482627900237,1861
1860,0.0496223361829,0.00485979300356,1871
1870,0.0496223361829,0.0049028820049,1881
1880,0.0496223361829,0.00494460300615,1891
1890,0.0496223361829,0.00498940100624,1901
1900,0.0496724292389,0.00502496700574,1911
1910,0.0496755581544,0.00505608700405,1921
1920,0.0496755581544,0.00510088500414,1931
1930,0.0496755581544,0.0051429480045,1941
1940,0.0502408650067,0.00518364300478,1951
1950,0.0502408650067,0.00520689700534,1961
1960,0.0502408650067,0.00522433700462,1971
1970,0.0502408650067,0.00524075200519,1981
1980,0.0502408650067,0.005268110006,1991
1990,0.0502789189344,0.00528213100552,2001
2000,0.0502789189344,0.00529923000613,2011
2010,0.0505518442017,0.00532351000584,2021
2020,0.0505518442017,0.00534266000614,2031
2030,0.0505518442017,0.00537514800635,2041
2040,0.0505518442017,0.00541139700545,2051
2050,0.0505518442017,0.00542576000589,2061
2060,0.0505518442017,0.00546303500596,2071
2070,0.0505518442017,0.00549039300677,2081
2080,0.0505518442017,0.00551946000633,2091
2090,0.0505518442017,0.00553655900694,2101
2100,0.0505518442017,0.00555399900622,2111
2110,0.0505518442017,0.00557041300635,2121
2120,0.0505518442017,0.00558546000684,2131
2130,0.0505518442017,0.00560290000794,2141
2140,0.0505894264822,0.0056415430081,2151
2150,0.0505894264822,0.00567300500734,2161
2160,0.0505894264822,0.00570720300675,2171
2170,0.0505894264822,0.0057427680058,2181
2180,0.0505894264822,0.00578448900524,2191
2190,0.0505894264822,0.00581560800492,2201
2200,0.0505894264822,0.0058474120051,2211
2210,0.0505894264822,0.00587853200523,2221
2220,0.0505894264822,0.00591272900419,2231
2230,0.0505894264822,0.0059455580049,2241
2240,0.0505894264822,0.00598454300416,2251
2250,0.0506802999089,0.00601668800482,2261
2260,0.0506802999089,0.00604849200499,2271
2270,0.0509367280868,0.00608952900438,2281
2280,0.0511081396584,0.00612133300456,2291
2290,0.0511081396584,0.00615518800441,2301
2300,0.0511081396584,0.00618528200357,2311
2310,0.0519429457742,0.00621674300419,2321
2320,0.0520314318538,0.00625880600455,2331
2330,0.0528187412944,0.00629129300432,2341
2340,0.0528187412944,0.00632549100374,2351
2350,0.0528435211938,0.00635661100387,2361
2360,0.0528435211938,0.00638944000457,2371
2370,0.0528435211938,0.00642192700616,2381
2380,0.0528435211938,0.00645509900642,2391
2390,0.0528435211938,0.00650023900744,2401
2400,0.0528435211938,0.00653580400649,2411
2410,0.0528435211938,0.00655769100558,2421
2420,0.0528435211938,0.0065717120051,2431
2430,0.0528435211938,0.00658881100389,2441
2440,0.0528507805388,0.00661651100563,2451
2450,0.0528507805388,0.00663600300504,2461
2460,0.0528507805388,0.00666746500428,2471
2470,0.0528507805388,0.00669926800401,2481
2480,0.0528507805388,0.00673004600503,2491
2490,0.0528507805388,0.0067618500052,2501
2500,0.0528507805388,0.00679331200445,2511
2510,0.0528507805388,0.00682648400289,2521
2520,0.0528507805388,0.00685931300177,2531
2530,0.0528733299052,0.00689009100279,2541
